id,user_name,payment_channel,amount,fee_value_type,bank_fee_amount,bank_fee_value_type,side,type,active
26,11715a0b-4b0f-4492-aad5-a3bc06d843eb,gcash_cashin,1000,absolute,0,percentage,sender,CashIn,t
25,11715a0b-4b0f-4492-aad5-a3bc06d843eb,instapay,50,absolute,0,percentage,sender,CashOut,t
42,4e70288c-daf0-4de9-a671-4daa640696e6,pesonet,8,absolute,7,absolute,sender,CashOut,t
35,4e70288c-daf0-4de9-a671-4daa640696e6,instapay_emi_p2p_cashout,12,absolute,3,absolute,beneficiary,CashOut,t
36,4e70288c-daf0-4de9-a671-4daa640696e6,instapay_emi_p2p_cashout,12,absolute,3,absolute,sender,CashOut,t
37,4e70288c-daf0-4de9-a671-4daa640696e6,gcash_cashout,8,absolute,7,absolute,beneficiary,CashOut,t
38,4e70288c-daf0-4de9-a671-4daa640696e6,gcash_cashout,8,absolute,7,absolute,sender,CashOut,t
39,4e70288c-daf0-4de9-a671-4daa640696e6,instapay,8,absolute,7,absolute,beneficiary,CashOut,t
27,4e70288c-daf0-4de9-a671-4daa640696e6,instapay_emi_p2p_cashout,12,absolute,3,absolute,beneficiary,CashOut,t
28,4e70288c-daf0-4de9-a671-4daa640696e6,instapay_emi_p2p_cashout,12,absolute,3,absolute,sender,CashOut,t
29,4e70288c-daf0-4de9-a671-4daa640696e6,gcash_cashout,8,absolute,7,absolute,beneficiary,CashOut,t
30,4e70288c-daf0-4de9-a671-4daa640696e6,gcash_cashout,8,absolute,7,absolute,sender,CashOut,t
31,4e70288c-daf0-4de9-a671-4daa640696e6,instapay,8,absolute,7,absolute,beneficiary,CashOut,t
32,4e70288c-daf0-4de9-a671-4daa640696e6,instapay,8,absolute,7,absolute,sender,CashOut,t
33,4e70288c-daf0-4de9-a671-4daa640696e6,pesonet,8,absolute,7,absolute,beneficiary,CashOut,t
34,4e70288c-daf0-4de9-a671-4daa640696e6,pesonet,8,absolute,7,absolute,sender,CashOut,t
40,4e70288c-daf0-4de9-a671-4daa640696e6,instapay,8,absolute,7,absolute,sender,CashOut,t
41,4e70288c-daf0-4de9-a671-4daa640696e6,pesonet,8,absolute,7,absolute,beneficiary,CashOut,t
7,5e364a10-fb13-4628-ba62-5ece76cba1af,ubp_partner_cashout,50,absolute,10,absolute,beneficiary,CashOut,t
2,5e364a10-fb13-4628-ba62-5ece76cba1af,instapay_emi_p2p_cashin,10,percentage,5,percentage,sender,CashIn,t
3,5e364a10-fb13-4628-ba62-5ece76cba1af,gcash_cashin,10,percentage,10,percentage,sender,CashIn,t
9,5e364a10-fb13-4628-ba62-5ece76cba1af,instapay,5,percentage,10,percentage,sender,CashOut,t
8,5e364a10-fb13-4628-ba62-5ece76cba1af,ubp_partner_cashout,50,absolute,5,percentage,sender,CashOut,t
1,5e364a10-fb13-4628-ba62-5ece76cba1af,paymaya_pay,100,absolute,0,absolute,sender,CashIn,t
10,5e364a10-fb13-4628-ba62-5ece76cba1af,instapay,5,percentage,10,percentage,beneficiary,CashOut,t
13,99a57ed4-4beb-4b4e-8d5d-bea296ba79be,ubp_partner_cashout,30,absolute,1,percentage,sender,CashOut,t
15,99a57ed4-4beb-4b4e-8d5d-bea296ba79be,instapay_gcash_cashout,1,percentage,0,percentage,sender,CashOut,t
20,99a57ed4-4beb-4b4e-8d5d-bea296ba79be,instapay_gcash_cashout,40,absolute,2,absolute,beneficiary,CashOut,t
23,99a57ed4-4beb-4b4e-8d5d-bea296ba79be,gcash_cashin,23,absolute,7,absolute,sender,CashIn,t
16,99a57ed4-4beb-4b4e-8d5d-bea296ba79be,instapay,10,absolute,0,percentage,beneficiary,CashOut,t
18,99a57ed4-4beb-4b4e-8d5d-bea296ba79be,ubp_partner_cashout,30,absolute,0,percentage,beneficiary,CashOut,t
17,99a57ed4-4beb-4b4e-8d5d-bea296ba79be,instapay_emi_p2p_cashout,20,absolute,10,absolute,beneficiary,CashOut,t
14,99a57ed4-4beb-4b4e-8d5d-bea296ba79be,paymaya_pay,40,absolute,1,percentage,sender,CashOut,t
11,99a57ed4-4beb-4b4e-8d5d-bea296ba79be,instapay,10,absolute,1,percentage,sender,CashOut,t
12,99a57ed4-4beb-4b4e-8d5d-bea296ba79be,instapay_emi_p2p_cashout,20,absolute,1,percentage,sender,CashOut,t
21,99a57ed4-4beb-4b4e-8d5d-bea296ba79be,pesonet,0,percentage,60,absolute,sender,CashOut,t
22,99a57ed4-4beb-4b4e-8d5d-bea296ba79be,pesonet,50,absolute,0,percentage,beneficiary,CashOut,t
19,99a57ed4-4beb-4b4e-8d5d-bea296ba79be,paymaya_pay,45,absolute,2,absolute,beneficiary,CashOut,t
